word	frequency
$	203
10	234
cover	133
charge	236
horse	62
power	180
practice	117
fire	243
safety	89
reduce	46
mental	33
stress	63
11	174
small	223
business	398
administration	34
11)spend	1
time	1131
day	823
god	127
12:16	1
p.m	60
unwanted	7
person	202
report	437
7700	1
block	159
elm	5
street	178
12.40	1
additional	82
inch	33
12	139
maximum	12
family	558
monthly	21
school	628
bus	50
inspection	20
£	6
be	17
spend	125
area	316
13	118
national	167
clean	99
plant	81
network	48
1519	1
mission	79
st	183
san	57
francisco	17
1	187
research	84
held	2
tongue	12
long	369
lay	21
tortilla	2
flat	26
surface	31
monitor	33
traffic	86
situation	205
2015	78
exceptional	19
year	1070
johnny	17
2:32	1
half-	1
virginia	29
lead	395
louisville	10
26	67
17	100
24	67
hour	188
29	69
afternoon	58
2	609
creative	41
economic	52
development	108
donation	77
door	182
dress	62
weather	77
extend	35
foreground	1
plan	407
extension	19
exist	80
interview	121
potential	76
candidate	78
know	952
pick	97
material	53
place	536
natural	61
fabric	13
scoop	4
core	28
personal	127
motivation	15
stop	375
run	505
travel	105
furry	2
companion	6
3000	2
project	286
management	60
30	142
reserve	51
seat	81
3124	1
story	538
views	5
35	28
advance	66
45	39
event	471
375	1
price	218
target	77
3	163
bereavement	1
education	117
program	322
build	350
credit	91
history	184
check	267
balance	89
pan	26
foil	7
create	190
spending	3
experience	331
help	437
home	649
office	139
personalized	1
web	34
content	33
solution	103
tarajal	1
fish	136
competition	87
tie	50
loose	22
end	438
favorite	150
preposition	2
work	1084
resource	57
old	314
show	159
promise	84
400	20
jewelry	4
store	129
42	23
include	271
lunch	91
4	246
ask	363
moon	25
video	150
blog	36
post	184
evaluate	14
career	81
future	179
h	19
great	971
child	346
ibm	5
pureflex	2
technical	17
support	374
v2	2
provide	379
email	116
implement	23
infrastructure	25
improvement	52
review	105
insurance	65
satisy	1
sweet	54
tooth	14
financial	84
professional	71
500	30
week	327
session	73
5	189
deglaze	2
white	110
wine	73
develop	27
team	521
security	100
federal	63
student	257
loan	24
audience	79
type	66
clickjacking	1
protect	58
information	266
restart	3
browser	4
revive	6
listen	79
tour	65
picture	146
67	9
goaltender	4
leo	12
lazarev	1
31	51
shot	60
6	139
neighbor	28
limit	95
gift	104
purchase	86
rub	10
salt	30
wind	52
seek	85
expert	42
advice	78
7.59am	1
evacuations	1
kaikoura	1
complete	214
80	29
plus	50
tax	94
84th	3
major	120
league	37
star	86
game	727
85	14
107	2
drought	7
percent	69
chance	111
rain	48
battle	48
ensue	7
freeway	5
a123	1
make	258
lithium	1
ion	2
battery	19
romulus	1
fast	101
require	242
150	30
jail	87
sentence	55
stay	219
2009	41
application	85
deny	95
21	83
woman	231
bystander	5
shoot	253
right	599
hand	188
a24	1
play	673
a2	2
yoga	15
challenge	217
misconception	5
excerpt	8
online	133
saturday	183
man	453
arrest	154
dui	4
36	26
perfect	185
score	264
38.9	1
increase	153
d	14
camcorder	1
necessarily	29
similar	138
way	611
watt	4
light	214
source	56
adequate	12
40	47
minute	177
walk	188
47	7
male	31
newark	1
domestic	33
48	13
cancellation	3
notice	86
49	9
graze	7
bullet	27
50	62
yard	238
beach	99
front	6
hotel	64
km	5
trail	59
circuit	10
90	26
marry	383
15	146
girl	145
99	6
pack	43
beer	52
aaaaaany	1
aa	2
october	92
aaron	25
bold	17
43	15
save	204
earn	81
win	594
net	61
coon	1
record	245
dean	33
catch	188
seven	177
pass	296
113	5
driver	93
die	648
police	383
operation	48
fountain	9
greenwood	7
lubich	1
add	413
tackle	41
michael	76
schut	1
27	69
district	115
co	68
pundt	1
jr	17
reynolds	12
guide	42
rodgers	2
throw	93
319	1
tds	4
crow	28
sears	4
important	245
extra	77
point	854
aarp	2
certified	4
instructor	18
doris	9
janofsky	1
teach	155
class	175
aarti	1
shahani	1
technology	86
correspondent	5
npr	4
baby	73
imminent	4
shower	56
f	16
lose	273
injury	123
porch	16
dig	100
adjoin	2
mound	13
bad	220
dmv	1
yesterday	41
bail	29
hear	307
schedule	177
council	131
good	1367
balloon	5
release	171
close	316
ceremony	90
baltimore	8
live	516
nightmare	16
abandoned	1
property	213
dot	10
neighborhood	79
city	440
abandoning	1
animal	87
misdemeanor	6
bankrupt	8
economy	77
manufacture	18
base	115
baseball	43
cap	16
idea	269
abbas	2
zaki	1
reality	89
painful	25
abbi	1
molner	1
scorer	10
abbotsford	4
tim	35
brown	103
agree	176
abbott	2
put	22
kitties4christy.com	1
litter	13
box	63
abbuhl	1
average	113
6.8	2
3.9	2
rebound	89
abby	9
boaz	2
pitcher	28
keegan	1
goal	306
assist	201
leblanc	3
risky	11
schneekloth	1
8.65	1
floor	131
athletic	13
miss	341
abc2	1
cameraman	1
scene	133
abc57	1
news	302
get	841
rare	26
look	701
inside	97
abc	7
canada	71
president	253
christine	14
featherstone	1
funerals	1
entrust	4
arrangement	39
learning	10
reach	112
alana	5
abramson	1
john	155
kruzel	1
contribute	70
abdellatif	1
attempt	30
murder	48
abdil	1
amuse	15
abdominal	1
breathe	21
trigger	22
relaxation	10
response	128
abdu	1
alhemaid	1
new	877
saudi	6
arabia	2
abdul	2
zahra	1
tob	1
zawa	1
iraq	13
abdurahmonov	1
deliver	75
keynote	5
speech	43
beatific	2
symphony	4
accompany	39
vision	42
beautiful	173
local	188
holiday	67
tradition	47
structure	40
waltz	3
bedroom	50
suite	14
waldorf	1
astoria	2
jerusalem	11
follow	432
abeid	1
set	280
book	301
abe	2
koga	2
impressive	50
background	59
health	136
care	228
abelardo	1
mai	4
take	761
position	154
beloved	12
reborn	1
abel	4
ramos	5
37	13
444	1
harrison	25
ave	11
boston	23
disorderly	7
conduct	113
ben	34
hope	258
conversion	53
gap	21
abercrombie	1
philosophical	7
loss	146
aberfoyle	1
mill	12
restaurant	94
offer	244
better	8
abhisit	1
severely	2
criticize	9
aspect	56
big	596
acquisition	8
mount	36
washington	59
summit	21
abigail	2
receive	249
thomas	55
bear	436
come	717
budget	84
deficit	14
component	25
read	318
grade	48
fat	23
question	410
jumble	1
pile	12
mistake	62
wellington	6
park	287
lot	628
problem	456
garbage	13
party	208
mean	207
shocker	2
happen	387
near	99
intermission	6
smile	72
face	250
open	437
tree	86
stand	180
bike	36
ride	96
like	1242
abiko	1
want	1190
study	136
law	201
university	154
abilene	2
christian	71
division	45
finish	335
539	2
offense	34
ability	25
matt	221
bill	176
need	1322
pay	254
billion	14
pipeline	20
biocoal	1
recently	82
break	220
grind	118
biopsy	1
order	129
bird's	1
eye	113
view	188
danbury	2
1875	2
bite	117
shock	58
harry	17
potter	5
concern	147
rustle	2
creativity	19
sharpen	4
observe	21
perspective	70
ms	37
greene	8
blanket	16
blind	25
flashlight	4
wake	29
couple	144
topic	84
blood	58
sample	31
collect	46
test	137
administer	14
bloody	7
body	114
lie	99
blue	56
chandelier	3
hang	34
ceil	31
taxidriver	1
page	74
ab	2
true	225
board	252
meet	371
powder	12
especially	70
useful	23
abolition	1
certainly	184
tempt	7
bomb	23
range	48
amusement	3
find	669
bond	31
propose	33
escape	30
booooo	1
tiful	1
even	78
aborn	1
citizens	8
crime	79
commission	52
abortion	26
deeplypersonal	1
choice	167
contraception	2
option	135
root	42
cause	160
ultimate	32
act	77
nihilism	1
weave	6
horrible	23
abortions	1
legal	64
boulder	9
firewall	1
000	69
people	760
evacuate	11
cordon	1
centre	27
100	45
demonstrate	14
outside	94
institution	24
raise	148
air	95
participant	28
invite	61
seminar	9
job	422
166	3
personnel	10
18	107
ago	44
200	52
attend	219
public	275
20	140
firefighter	17
involve	100
240	4
injure	96
380	1
participate	38
celebration	39
vehicle	156
use	296
bridge	51
line	199
650	2
delegate	3
conference	73
800	14
account	61
youth	55
8	127
volunteer	110
task	41
thing	693
bennett	11
international	97
group	261
mcdonough	1
ga	10
night	260
scale	18
husband	77
wife	82
celebrate	77
graduation	14
life	523
style	81
plasma	2
fall	197
category	43
abraham	5
decline	81
comment	252
love	1027
gentle	17
abrahamson	1
single	109
start	755
uprising	3
routine	38
bridal	3
give	246
lauren	14
queler	1
brief	32
manisha	1
koirala	1
answer	348
brilliant	31
debut	9
shin	5
angel	14
brother	75
service	383
purse	11
absentees	1
allow	129
abs	1
headquarter	14
york	53
absolute	26
certainty	5
fallacy	2
absolutely	130
fantastic	63
tell	290
college	128
kind	182
dangerous	78
silence	36
abstract	6
ink	4
drawing	8
master	66
little	297
bucket	11
spill	8
buffet	10
room	235
serve	267
afterward	10
abundant	4
finance	25
wildlife	10
surround	35
forest	25
abuse	40
private	127
affair	13
abu	1
tir	1
moderate	12
cable	13
company	268
middle	69
issue	415
acac	1
appeal	70
academia	5
rarely	43
academic	21
state	366
cross	43
country	351
valedictorian	4
academically	2
caltech	3
peer	20
continue	319
struggle	57
caller	16
arizona	29
temperature	20
possible	92
steal	55
mulch	7
water	248
harassment	8
landlord	8
suspicious	15
activity	80
