word_x	word_y	f_xy	f_x	f_y	pmi
mulu	wongel	4	4	4	19.09302031462764
cavernosa	corpora	4	4	4	19.09302031462764
mullá	ḥusayn	4	4	4	19.09302031462764
kata	tjuṯa	4	4	4	19.09302031462764
kuramoto	sivashinsky	4	4	4	19.09302031462764
administración	asistencia	4	4	4	19.09302031462764
himitsu	keisatsu	4	4	4	19.09302031462764
administración	asesoría	4	4	4	19.09302031462764
asesoría	asistencia	4	4	4	19.09302031462764
ait	khamouch	4	5	4	18.77109221974028
zag	zig	4	5	4	18.77109221974028
osmólska	weishampel	4	4	5	18.77109221974028
pichi	richi	4	5	4	18.77109221974028
islami	jamaat	4	4	5	18.77109221974028
agong	pertuan	5	5	5	18.77109221974028
minnelli	vincente	4	5	4	18.77109221974028
nuestra	señora	4	5	4	18.77109221974028
catholique	louvain	4	5	4	18.77109221974028
flavia	pennetta	4	5	4	18.77109221974028
palya	tjungu	4	5	4	18.77109221974028
maikel	scheffers	5	5	5	18.77109221974028
himitsu	kokusai	4	4	5	18.77109221974028
olsson	scheffers	4	4	5	18.77109221974028
keisatsu	kokusai	4	4	5	18.77109221974028
maikel	olsson	4	5	4	18.77109221974028
marv	wolfman	4	4	5	18.77109221974028
levu	viti	4	4	5	18.77109221974028
jugend	musiziert	4	6	4	18.508057813906486
cumulate	ects	5	5	6	18.508057813906486
d'estaing	giscard	4	4	6	18.508057813906486
kyi	suu	6	6	6	18.508057813906486
ashikaga	takauji	4	6	4	18.508057813906486
bahri	deir	4	4	6	18.508057813906486
haloalkane	halogen	4	6	4	18.508057813906486
insaf	tehreek	4	4	6	18.508057813906486
knute	rockne	4	4	6	18.508057813906486
amplio	frente	4	4	6	18.508057813906486
mechanicsburg	stackpole	5	5	6	18.508057813906486
deathly	hallows	4	5	5	18.449164124852917
beveren	rumbeke	4	5	5	18.449164124852917
dyskinesia	tardive	4	5	5	18.449164124852917
dál	riata	4	5	5	18.449164124852917
atzeret	shemini	7	7	7	18.28566539257004
d1075	e712	5	7	5	18.28566539257004
350–1100	higham	4	4	7	18.28566539257004
helicobacter	pylori	4	4	7	18.28566539257004
apical	meristem	4	4	7	18.28566539257004
kalan	khurd	4	7	4	18.28566539257004
lyrae	rr	4	4	7	18.28566539257004
barda	lief	4	4	7	18.28566539257004
korsakov	rimsky	7	7	7	18.28566539257004
cours	magny	5	7	5	18.28566539257004
amico	intellivision	4	4	7	18.28566539257004
dello	gazzetta	4	7	4	18.28566539257004
l1	l2	5	6	6	18.24502340807269
diiriye	guure	5	6	6	18.24502340807269
tsim	tsui	5	6	6	18.24502340807269
abdu'l	bahá	5	6	6	18.24502340807269
wps	wpsl	4	5	6	18.186129719019124
joba	param	4	5	6	18.186129719019124
bigga	peisley	4	4	8	18.09302031462764
