word_x	word_y	f_xy	f_x	f_y	pmi
marc	savlov	3	3	3	13.287712379549449
gon	na	3	3	3	13.287712379549449
slater	hogg	4	4	4	12.872674880270605
hogg	howison	4	4	4	12.872674880270605
slater	howison	4	4	4	12.872674880270605
costa	rica	3	5	3	12.550746785383243
las	vegas	4	4	6	12.287712379549449
permission	reprinted	5	7	5	12.065319958213001
extractor	cooker	3	4	6	11.872674880270605
honorary	pallbearer	3	6	4	11.872674880270605
shortly	thereafter	3	6	4	11.872674880270605
cooker	hob	3	6	4	11.872674880270605
sales	lettings	3	9	3	11.702749878828293
los	angeles	7	9	7	11.702749878828293
render	choir	3	4	7	11.650282458934157
san	francisco	6	13	6	11.172235162129514
glaze	upvc	4	11	5	11.091315166745947
moderator	square	9	10	13	11.020232068684464
ltd	areas	4	10	6	10.965784284662087
united	methodist	5	13	6	10.90920075629572
born	1916	3	16	3	10.872674880270605
plead	guilty	3	7	7	10.842927536876553
shower	cubicle	3	13	4	10.75719766285067
glaze	opaque	3	11	5	10.676277667467103
stake	boost	3	11	5	10.676277667467103
pound	weigh	3	14	4	10.650282458934157
moving	jul	3	19	3	10.62474736682702
moving	sep	7	19	7	10.62474736682702
en	suite	5	7	14	10.579893131042759
machine	dishwasher	3	12	5	10.550746785383243
s	™	5	13	8	10.494163257016876
born	egypt	3	16	4	10.45763738099176
neither	nor	4	22	4	10.413243261633308
marketed	lettings	3	23	3	10.349112924213593
marketed	howison	4	23	4	10.349112924213593
marketed	slater	4	23	4	10.349112924213593
marketed	hogg	4	23	4	10.349112924213593
opinion	justices	3	24	3	10.287712379549449
extractor	range	3	4	19	10.209709867548176
hair	blonde	3	20	4	10.1357092861044
mention	honorable	3	27	3	10.117787378107137
shirt	t	3	9	9	10.117787378107137
speaker	keynote	5	23	6	10.086078518379798
review	savlov	3	28	3	10.065319958213001
review	marc	3	28	3	10.065319958213001
commerce	chamber	3	9	10	9.965784284662087
en	shower	3	7	13	9.949842740793066
storage	cupboard	4	18	7	9.895394956770689
shower	bath	4	13	10	9.85030706724215
hospice	memorials	3	7	14	9.842927536876553
average	moving	19	33	19	9.828280760912152
average	sep	7	33	7	9.828280760912152
average	jul	3	33	3	9.828280760912152
baptist	missionary	3	25	4	9.813781191217037
officiate	rev	7	17	15	9.685676365469352
announcement	formal	3	10	11	9.676277667467103
join	justices	3	37	3	9.663221514641656
window	opaque	5	37	5	9.663221514641656
stress	importance	3	17	7	9.562819617683818
above	jul	3	41	3	9.515122875652523
billion	rise	4	11	15	9.50635266602479
online	condolence	3	31	4	9.503441070604886
degree	temperature	4	19	9	9.454822365384707
daughter	1916	3	43	3	9.446410125568507
quarter	boost	3	26	5	9.435269567963307
film	savlov	3	44	3	9.413243261633308
film	marc	3	44	3	9.413243261633308
resident	lifelong	3	19	7	9.402354945490572
belief	beyond	3	9	15	9.380821783940931
shower	suite	4	13	14	9.36488024007191
email	moderator	9	41	10	9.363119782207471
ltd	marketed	5	10	23	9.349112924213593
billion	revenue	5	11	21	9.34285393374191
collar	wear	4	5	37	9.341293419754294
window	upvc	4	37	5	9.341293419754294
funeral	cremation	3	35	4	9.328354364046795
foundation	proceeds	3	20	7	9.328354364046795
panel	solar	3	18	8	9.287712379549449
file	lawsuit	4	28	7	9.257965036155397
sept	sr	3	21	7	9.257965036155397
surprise	pleasantly	4	49	4	9.257965036155397
locate	centrally	3	49	3	9.257965036155397
deny	allegation	4	25	8	9.228818690495881
office	sheriff	3	50	3	9.228818690495881
degree	bake	3	19	8	9.209709867548176
window	glaze	8	37	11	9.20378989600436
pastor	officiate	3	9	17	9.20024953829911
clinton	hillary	6	28	11	9.19085084029686
funeral	arrangements	6	35	9	9.158429362604483
son	egypt	3	40	4	9.1357092861044
30	sep	6	47	7	9.09569360725652
release	decease	3	55	3	9.091315166745947
solve	mystery	4	17	13	9.084772320879175
above	moving	14	41	19	9.074550284266541
150	moving	3	9	19	9.039784866105864
quarter	stake	5	26	11	9.03473163837958
cemetery	interment	10	48	12	9.024677973715656
burial	cemetery	28	34	48	9.007604460356713
e	mail	3	16	11	8.998205762354464
minor	injury	5	8	37	8.985149609529017
email	square	9	41	13	8.984608158953742
bathroom	bedroom	3	12	15	8.965784284662087
ceremony	officiate	7	25	17	8.948710771303146
donald	trump	13	18	44	8.943757978332089
brother	uncle	3	31	6	8.91847856988373
list	cvent	3	65	3	8.85030706724215
double	upvc	4	54	5	8.795859283219775
town	moderator	9	61	10	8.789934449262669
50	moving	7	25	19	8.7882460991099
sales	marketed	3	9	23	8.764150423492437
stand	ovation	3	71	3	8.722927760765923
policy	foreign	4	26	11	8.712803543492216
above	sep	4	41	7	8.707767953594917
carolina	south	3	5	44	8.676277667467103
close	moving	19	74	19	8.663221514641656
close	jul	3	74	3	8.663221514641656
close	sep	7	74	7	8.663221514641656
30	moving	12	47	19	8.655121015870538
deny	involvement	3	25	9	8.643856189774725
cook	spray	3	38	6	8.62474736682702
information	817	3	76	3	8.62474736682702
ann	mary	3	11	21	8.605888339575705
interception	throw	3	8	29	8.59965638586419
charge	intoxication	3	78	3	8.587272661408358
charge	felony	3	78	3	8.587272661408358
dollar	million	3	13	18	8.587272661408358
revenue	rise	4	21	15	8.573466861883327
press	conference	3	17	14	8.562819617683818
recommend	highly	7	27	21	8.53282487738598
funeral	arrangement	3	35	7	8.520999441989192
approve	unanimously	4	30	11	8.50635266602479
view	countryside	3	62	4	8.503441070604886
law	enforcement	4	48	7	8.480357457491845
box	ballot	3	28	9	8.480357457491845
benefit	proceeds	4	48	7	8.480357457491845
double	glaze	7	54	11	8.465710681527444
an	autopsy	3	64	4	8.45763738099176
