word	frequency
1	76
rise	4
above	17
the	3258
negativity	1
256	1
tree	11
be	3455
tag	3
during	26
study	17
2	63
create	22
a	2056
plan	39
£	1
300	4
deposit	3
per	9
person	23
a$	1
000	7
bond	3
set	40
space	15
park	29
component	4
will	364
include	25
aaron	4
hernandez	2
swerve	1
around	34
them	80
rodgers	1
miss	37
pro	3
bowl	6
abbas	1
thank	27
venezuela	2
for	604
its	33
support	36
abdallah	1
now	92
live	49
in	819
makeshift	1
home	64
beard	1
lady	6
walk	19
route	3
beautiful	27
wed	5
report	50
bee	1
hive	2
grant	4
also	219
development	16
believer	3
should	104
have	1054
spiritual	4
wristwatch	1
abenomics	1
failure	2
by	249
any	71
measure	12
•ability	1
to	749
work	143
with	362
minimum	3
supervision	2
bishop	2
pair	6
strong	18
throughout	15
whole	25
game	86
bite	20
of	724
laugh	14
really	99
book	19
sign	12
follow	41
after	41
lecture	3
about	161
150	2
resident	11
evacuate	3
all	195
accuracy	1
paramount	2
box	8
referee	1
other	75
power	16
abraham	2
’s	535
across	9
ideological	1
group	36
bright	8
future	18
await	4
you	440
er	2
brilliant	4
light	23
shin	1
from	183
angel	1
buffet	1
supper	3
serve	34
business	41
weekly	3
publish	8
every	42
friday	16
abusive	1
language	10
never	93
use	58
access	10
constant	4
negotiation	1
floor	14
land	12
rear	2
yard	24
accommodations	1
property	24
owner	15
citation	1
issue	42
vandalism	1
clean	7
drive	24
record	28
check	27
communication	6
problem	47
under	19
circumstance	4
cone	2
just	194
right	55
size	6
cover	8
dish	6
dinner	10
service	41
activity	8
admission	4
actually	20
many	41
reason	16
quite	18
lot	62
adam	1
scott	5
show	51
off	38
his	170
impressive	6
swing	2
date	13
that	569
vote	19
yet	26
add	53
splash	1
color	9
grain	1
like	131
some	85
pita	1
bread	2
chicken	8
broth	2
pan	6
cup	4
cold	8
wa­ter	1
it	1087
corn	3
syrup	2
mustard	1
and	546
celery	1
seed	3
peach	1
coat	2
salt	4
pepper	3
fresh	7
basil	1
spinach	2
stockpot	1
piece	17
chocolate	2
chip	2
wine	8
bottom	4
vegetable	3
toss	2
delicious	7
bahn	1
mi	1
at	321
da	2
vang	1
homemade	2
provide	40
discovery	3
aditya	1
chopra	1
wo	18
not	623
shoot	16
paris	3
program	40
free	36
cost	11
this	611
event	46
year	101
$	7
30	15
admittedly	1
choice	22
poor	9
donation	6
make	157
trochu	1
kindergarten	3
double	17
machine	3
on	388
basketball	2
court	15
standard	12
here	85
draw	10
boy	19
operator	3
adrian	1
parent	14
consolacion	1
cepeda	1
jose	1
castanon	1
dumb	4
waiter	1
can	287
find	72
pantry	2
advanced	1
ticket	7
sale	12
only	65
advertorial	1
content	8
steamboat	1
festival	5
advocate	3
low	14
income	2
affordable	5
house	34
employee	8
design	12
bphone	1
family	65
almost	28
friend	19
kill	35
tower	1
fascinate	6
interview	9
maverick	1
guru	1
federal	6
appeal	6
panel	3
agree	24
few	14
caution	6
jardim	1
point	89
remain	20
unexplained	1
new	90
fierce	2
win	52
final	16
decision	20
expect	21
march	15
august	13
fist	1
pump	3
so	151
gleefully	1
sweep	3
foodie	1
destination	2
corporate	6
getaway	2
fall	15
into	75
nothing	29
evaluation	4
china	7
aftershocks	1
always	63
additional	7
threat	2
think	77
experiment	2
animal	13
destroy	4
we	614
consume	2
guilt	1
again	32
commercial	2
pierce	2
eye	14
garland	1
place	50
her	117
neck	5
agbank	1
npl	1
provision	1
very	131
high	45
good	176
3	42
film	13
thing	70
too	72
great	100
enjoy	42
picnic	3
handler	2
steady	1
horse	3
auction	6
handwritten	1
note	4
hit	33
dog	25
holler	1
ahmadinejad	1
counter	4
attack	6
fiercely	1
national	15
tv	7
ahmed	1
fugitive	1
justice	6
huge	24
snowstorm	2
eastern	2
iowa	4
aid	2
call	61
south	10
11th	1
street	20
aircraft	2
company	20
defense	12
contractor	1
airey	1
eight	19
dig	14
two	85
ace	10
key	10
member	33
leave	27
band	6
knife	2
tether	1
waist	1
alachua	1
do	423
cut	10
large	8
bathroom	3
complete	29
upper	1
level	14
accommodation	2
albertans	1
deserve	16
well	45
albert	3
einstein	1
prize	6
gazette	1
want	127
spin	1
yarn	1
alberto	2
rios	1
i	838
effective	6
alcohol	6
and/or	1
drug	11
test	13
coroner	1
pet	6
allow	11
alderman	1
mike	16
chandler	1
present	19
meet	43
aldersgate	1
united	3
methodist	1
church	28
locate	13
1301	1
collingwood	1
road	26
alexandria	2
alec	1
loehr	1
lead	34
rosemount	1
16	11
alexa	1
giraldo	1
ride	8
colombia	1
alexander	2
primary	6
position	19
base	17
alex	5
benuex	1
much	86
runner	1
clark	4
web	4
editor	5
daily	8
universe	3
forehand	1
pick	7
up	81
save	24
incredible	8
athlete	4
breakfast	7
alike	2
country	40
tend	4
flock	1
together	14
little	32
tidiness	1
go	119
long	33
way	61
alive	5
pd	1
entirely	10
online	8
alj	1
regional	7
holdings	1
inc	3
nasdaq	1
aljj	1
open	48
3.83	1
affect	10
item	6
remove	9
age	9
gender	4
welcome	16
come	66
allah	1
us	50
ground	4
campus	2
police	31
headquarter	2
bourbon	2
rose	1
brit	1
exam	1
perform	6
private	17
turn	28
lake	5
independence	2
constituency	1
allianz	1
asset	1
management	6
ag	1
boost	4
stake	4
criteo	1
sa	1
53.1	1
quarter	11
moderation	2
course	18
interest	26
p	3
name	36
popularity	2
invest	4
involve	18
risk	12
forgive	3
allison	1
jessica	2
status	3
law	21
enforce	2
material	10
equipment	9
money	40
performer	1
volunteer	10
artificial	1
pass	32
away	26
patient	9
file	12
still	68
contact	16
due	3
performance	11
kling	1
foundation	9
photo	37
linnet	1
tse	1
proceed	3
benefit	14
martin	6
mill	1
isd	1
ulstercorps	1
public	20
area	35
complimentary	2
wifi	1
rate	9
state	51
canadian	4
currency	1
real	34
character	11
tenacious	1
region	2
major	6
decline	10
stupid	1
act	9
suggestion	3
three	42
bit	1
faulty	1
total	7
ball	16
attire	1
wisteria	1
gown	1
kosovo	1
citizen	3
battle	5
there	194
another	70
local	19
source	10
tell	27
al	4
masdaronline	1
look	58
tonight	8
top	15
story	61
loon	1
break	25
quiet	5
change	58
middle	7
grind	9
modern	6
life	54
anxiety	2
hand	16
lovely	4
cream	5
cape	2
zara	1
love	88
nature	14
already	33
bowser	1
endure	1
tough	19
one	75
sex	5
binary	1
picture	15
sandusky	1
defender	2
natalie	2
lester	2
tomorrow	2
day	74
lunch	8
time	130
available	41
your	203
spell	3
cross	6
pedestrian	1
signal	3
lock	5
car	20
alyce	1
tully	1
restaurant	16
amanda	1
fence	4
man	49
valor	1
candid	2
expression	3
murder	4
belize	3
city	33
over	60
weekend	11
medical	15
certificate	2
council	5
mediocre	1
chain	2
panera	1
perfect	29
ameer	1
jamatud	1
dawah	1
prof	3
hafiz	1
muhammad	3
saeed	1
address	12
rally	2
hold	45
river	8
town	17
hall	9
membership	3
currently	9
process	24
memorial	13
colonial	1
manor	1
monday	11
merciful	1
heart	11
doe	75
mean	32
weak	2
america	9
white	7
american	16
largely	5
racially	1
exclusive	1
international	11
increase	14
ps	2
parks	2
1.1	2
4	20
mountain	7
men	1
lose	42
face	24
amm	1
convention	3
brandon	5
today	39
among	7
idea	24
simulation	1
practice	11
monitor	6
body	15
establish	6
amos	1
predecease	6
infant	2
granddaughter	1
sarah	2
crawford	3
motivational	1
speaker	6
motorist	2
arrest	17
charge	26
dui	1
movie	11
expert	7
ample	2
dine	6
amundson	1
bank	9
amy	1
particularly	4
intrigue	4
fossil	1
an	19
assault	7
6900	1
block	17
northeast	1
158th	1
ana	2
swanson	2
write	35
attractive	3
instantly	4
catch	15
everyone	35
attention	11
autopsy	2
conduct	7
pine	2
county	47
sheriff	7
office	13
it`s	2
unique	12
crayon	1
they	527
inherently	3
bad	24
art	13
packs	1
bear	39
n’t	218
see	73
dark	5
cheer	2
clarke	2
staple	1
anderson	7
finish	38
hitter	1
know	104
coach	16
struggle	8
put	21
weight	4
foot	9
everything	18
priority	9
education	18
safety	9
he	551
accept	19
affirm	2
clinton	8
case	35
answer	28
me	83
connect	4
shrug	1
shoulder	4
flipside	1
principle	6
hey	2
integrity	2
unquestionable	1
how	90
she	348
die	60
probe	2
ca	51
get	149
flaunt	2
lie	9
my	163
team	46
’m	51
glad	2
happy	31
interactive	1
own	23
belief	3
continue	30
develop	4
slowly	3
acknowledge	3
emo­tion­al	1
give	44
result	25
string	1
market	30
wide	4
re	62
pedestal	1
mask	3
taste	5
meat	8
deal	15
entertainment	4
take	126
root	5
escape	7
important	26
distinction	2
appropriate	3
279	1
endless	3
280	1
happen	39
281	1
282	2
no	182
ma	1
pa	1
venture	2
283	1
simple	23
sound	20
284	1
class	23
285	1
clear	17
286	1
hilarious	2
287	1
powerful	7
288	1
289	1
290	1
maybe	19
even	49
margarita	1
291	1
parcel	1
tax	12
292	1
293	1
winter	9
294	1
basis	6
295	2
our	130
number	10
grow	17
296	1
garage	7
scarry	1
297	1
perhaps	10
298	1
personal	22
thanks	14
299	1
play	83
music	24
andrew	1
may	80
wear	12
glass	6
301	1
302	1
feel	63
303	1
response	14
304	1
end	38
quiz	1
305	1
somehow	1
manage	14
306	1
old	36
timer	1
return	19
307	1
sometimes	15
indoor	2
track	8
308	1
309	1
310	2
unfortunate	1
311	1
something	19
312	1
313	1
price	17
severe	2
314	1
amaze	24
315	1
presentation	3
316	1
incorrect	1
317	1
recent	8
history	23
318	1
begin	47
319	1
half	15
320	1
trade	8
321	1
pretty	45
wow	2
322	1
pistachio	1
323	2
midweek	1
within	8
month	18
stop	43
energy	11
palpable	1
fireplace	5
mantel	2
ideal	6
numb	6
child	35
judge	7
announce	5
retirement	5
marketplace	2
ripe	2
stick	6
then	47
next	44
guy	26
messy	3
reality	12
officer	22
voter	3
tension	3
room	29
accompaniment	1
hardly	7
afterthought	1
world	44
question	35
achieve	5
their	97
goal	27
haul	2
valuable	4
resource	9
cure	1
wealthy	1
spectacular	4
job	49
’re	55
optimistic	4
control	11
situation	18
tale	3
understand	15
back	44
dare	2
sad	4
fast	9
but	171
anything	22
big	57
list	21
exhaustive	1
essential	2
challenge	24
growing	1
small	24
figure	6
usually	8
tiendita	1
what	156
campaign	13
contribution	6
why	48
detail	19
same	34
woman	23
learn	27
care	22
would	120
president	32
yurts	1
easy	28
contentment	1
temper	2
ebook	1
read	31
multiple	8
device	3
electric	1
shower	3
fit	11
eminent	2
domain	3
attorney	10
revival	1
estimate	5
800	2
rebel	2
strategy	7
need	118
exception	7
autumn	4
express	5
run	58
extra	10
bring	21
score	27
7	12
0	8
bobby	1
puyol	1
angela	2
farolino	1
31	7
assist	23
angelo	1
quaranta	1
board	25
prez	1
peskin	1
nice	22
warm	5
fuzzy	1
east	7
edison	1
avenue	7
welfare	2
production	5
animation	1
video	16
undeniably	1
entertain	4
independent	5
consultant	3
indirect	1
option	15
inexpensive	1
weather	7
radio	6
iota	1
datum	2
twist	3
anitamarie	1
dear	2
barlow	3
