word_x	word_y	f_xy	f_x	f_y	pmi
arabia	saudi	3	4	3	14.202946433687304
lanka	sri	4	4	5	13.88101833879994
dwight	eisenhower	3	3	6	13.617983932966146
graphical	interface	3	3	6	13.617983932966146
monday	saturday	3	8	3	13.202946433687304
cape	verde	3	8	3	13.202946433687304
championships	polo	3	7	4	12.980554012350854
pro	slavery	3	7	4	12.980554012350854
annabeth	percy	3	3	10	12.88101833879994
anglo	saxon	6	9	7	12.810629010908542
kirby	routledge	3	8	4	12.78790893440846
admiral	rear	3	4	8	12.78790893440846
angeles	los	9	10	10	12.72901524535489
deviation	standard	3	3	12	12.617983932966146
trailer	truck	3	5	8	12.465980839521096
christ	jesus	3	5	9	12.296055838078784
archdiocese	catholic	3	3	15	12.296055838078784
declare	emergency	3	12	4	12.202946433687304
constant	measurement	3	4	12	12.202946433687304
colonel	lieutenant	3	5	10	12.144052744633735
equality	peace	3	5	10	12.144052744633735
eruption	volcano	4	7	10	12.073663416742336
hong	kong	8	11	13	12.043075096908913
coin	mint	3	18	3	12.03302143224499
cat	thunderclan	3	19	3	11.955018920243717
degree	doctorate	3	19	3	11.955018920243717
d.c.	washington	3	4	15	11.88101833879994
aboriginal	tribe	3	4	15	11.88101833879994
finance	ministry	3	6	10	11.88101833879994
jail	sentence	3	7	9	11.810629010908542
h	triple	4	12	7	11.810629010908542
grand	prix	7	17	9	11.752913513052254
compound	organic	3	11	6	11.743514815050005
archdiocese	roman	3	3	22	11.743514815050005
archbishop	roman	3	3	22	11.743514815050005
ball	bounce	3	17	4	11.700446093158119
negative	positive	5	7	17	11.630056765266723
awards	nominate	6	12	12	11.617983932966146
rope	tie	3	9	8	11.617983932966146
breast	cancer	3	6	12	11.617983932966146
italy	wine	3	18	4	11.617983932966146
graduate	renowned	3	18	4	11.617983932966146
literacy	rate	4	4	24	11.617983932966146
catholic	diocese	4	15	7	11.48870091602118
d.	routledge	3	20	4	11.465980839521096
gun	machine	4	12	9	11.448058931523834
european	uefa	3	27	3	11.448058931523834
arrondissement	inhabitant	4	11	10	11.421586720162644
orchestra	symphony	3	14	6	11.395591511629698
d	g	3	14	6	11.395591511629698
egg	lay	5	18	8	11.354949527132353
100	breaststroke	3	29	3	11.344965438559731
fat	protein	3	11	8	11.328477315771162
asia	asian	3	10	9	11.296055838078784
average	precipitation	3	30	3	11.296055838078784
bishop	diocese	3	13	7	11.280114294209763
blue	dye	3	31	3	11.248750123300427
ages	middle	3	3	32	11.202946433687304
atom	tiny	3	16	6	11.202946433687304
1942	1943	3	7	14	11.17319909029325
games	olympic	3	17	6	11.115483592436963
francisco	san	6	7	30	11.073663416742336
atom	molecule	4	16	9	11.03302143224499
roman	romans	3	22	5	11.0065492208838
regard	widely	3	7	16	10.980554012350854
2021	mp	3	16	7	10.980554012350854
diocese	roman	4	7	22	10.936159892992402
hockey	ice	6	11	21	10.936159892992402
edition	routledge	3	29	4	10.929927939280887
chorus	sing	3	4	29	10.929927939280887
positive	review	10	17	23	10.913849731267312
fernando	san	3	4	30	10.88101833879994
inch	tall	3	8	15	10.88101833879994
routledge	york	4	4	40	10.88101833879994
answer	question	6	13	19	10.839541702823782
04	50	4	5	33	10.836624219441488
friday	night	3	4	31	10.833712624021583
orbit	sun	4	7	24	10.810629010908542
austrian	football	3	6	21	10.810629010908542
tv	ukraine	3	32	4	10.78790893440846
london	routledge	4	43	4	10.776681678985204
academy	sciences	6	29	9	10.760002937838575
interface	user	3	6	22	10.743514815050005
involve	violence	3	22	6	10.743514815050005
cat	pet	3	19	7	10.732626498907269
match	midfielder	4	45	4	10.711093337357628
games	paralympic	3	17	8	10.700446093158119
$	billion	9	30	14	10.658625917463493
independent	mp	3	20	7	10.658625917463493
guard	security	3	13	11	10.628037597630069
c	f	3	13	11	10.628037597630069
field	magnetic	3	36	4	10.617983932966146
2000	routledge	3	36	4	10.617983932966146
musician	songwriter	3	18	8	10.617983932966146
bishop	catholic	4	13	15	10.595616119937691
generation	ipod	3	15	10	10.559090243912578
championship	heavyweight	3	50	3	10.559090243912578
championship	uefa	3	50	3	10.559090243912578
kilometre	square	3	6	25	10.559090243912578
depression	tropical	6	12	25	10.559090243912578
activist	civil	3	10	15	10.559090243912578
singer	songwriter	4	25	8	10.559090243912578
04	°	4	5	41	10.523466334181856
b	d	3	11	14	10.521122393713558
character	playable	3	52	3	10.502506715546211
03	50	5	8	33	10.480480409216211
d.	kirby	3	20	8	10.465980839521096
egg	feed	3	18	9	10.448058931523834
kilogram	meter	3	6	27	10.448058931523834
blue	grey	4	31	7	10.441395201242823
tall	weigh	3	15	11	10.421586720162644
catholic	roman	6	15	22	10.421586720162644
accurate	possible	3	5	34	10.378517998270757
bass	guitar	3	10	17	10.378517998270757
storm	tropical	15	34	25	10.378517998270757
arrondissement	department	6	11	31	10.374281005384287
dangerous	situation	3	9	19	10.37005641952256
critic	review	6	15	23	10.357456382742928
god	sin	3	58	3	10.344965438559731
atom	particle	3	16	11	10.328477315771162
house	representatives	3	59	3	10.320303384325461
care	health	4	12	20	10.296055838078784
josé	san	4	8	30	10.296055838078784
cite	source	3	5	36	10.296055838078784
key	keyboard	3	26	7	10.280114294209763
shirt	wear	3	5	37	10.256527473892147
aircraft	carrier	4	25	10	10.237162149025217
oxford	press	4	9	28	10.225666510187386
fame	hall	7	12	37	10.2158854893948
division	infantry	5	23	14	10.193957650460048
art	gallery	4	43	6	10.19171917826405
ireland	northern	6	13	30	10.180578620658848
17th	century	4	4	65	10.180578620658848
press	saxon	3	28	7	10.17319909029325
03	°	5	8	41	10.167322523956582
article	wikipedia	3	33	6	10.15855231432885
f	temperature	3	11	18	10.15855231432885
de	institut	3	67	3	10.13685724322953
04	east	4	5	54	10.126130836636472
guitar	string	3	17	12	10.115483592436963
compound	element	4	11	25	10.09965862527528
academy	nominate	5	29	12	10.081931032725937
20th	century	14	15	65	10.081042947107933
cool	winter	3	14	15	10.073663416742336
cambridge	press	4	10	28	10.073663416742336
cm	frog	4	19	15	10.048128324635199
bishop	roman	4	13	22	10.043075096908913
eat	meat	3	43	5	10.039716084818998
problem	solve	10	60	12	10.03302143224499
500	meter	3	8	27	10.03302143224499
court	supreme	5	45	8	10.03302143224499
p.	routledge	3	54	4	10.03302143224499
honor	medal	4	18	16	10.03302143224499
soviet	union	8	18	32	10.03302143224499
heritage	site	3	8	27	10.03302143224499
operating	system	3	3	73	10.013121874807286
crew	passenger	3	11	20	10.0065492208838
cool	hot	4	14	21	10.003274088850938
shoe	wear	3	6	37	9.993493068058353
uniform	wear	3	6	37	9.993493068058353
ancient	egypt	4	27	11	9.988627312886537
hurricane	storm	5	11	34	9.977980068687028
add	template	3	45	5	9.974127743191422
km	mile	7	25	21	9.974127743191422
court	jurisdiction	3	45	5	9.974127743191422
p.	saxon	5	54	7	9.962632104353593
anglo	england	4	9	34	9.94555859099465
e	e.	3	21	11	9.936159892992402
8	ft	3	33	7	9.936159892992402
edition	kirby	3	29	8	9.929927939280887
chief	editor	3	18	13	9.917544214825055
planet	sun	4	13	24	9.917544214825055
england	saxon	3	34	7	9.893091171100515
primary	secondary	3	16	15	9.88101833879994
broadcast	radio	5	16	25	9.88101833879994
election	presidential	6	44	11	9.869045697133865
meter	tall	5	27	15	9.863096430802678
egg	lie	4	18	18	9.863096430802678
minister	prime	9	43	17	9.859143839177177
depression	storm	5	12	34	9.85244918660317
child	unborn	3	82	3	9.84539442906922
48	°	3	6	41	9.84539442906922
fame	women	3	12	21	9.810629010908542
divorce	married	5	15	28	9.810629010908542
anglo	press	3	9	28	9.810629010908542
sir	william	3	11	23	9.80491535971415
convert	precipitation	3	85	3	9.793555497549601
operate	own	4	17	20	9.793555497549601
critic	positive	3	15	17	9.793555497549601
english	routledge	3	64	4	9.78790893440846
leader	mp	3	37	7	9.771100646721905
03	east	5	8	54	9.769987026411197
faculty	university	5	5	87	9.760002937838575
academy	awards	4	29	12	9.760002937838575
praise	sing	3	9	29	9.760002937838575
states	united	55	60	80	9.755487456716082
fiction	science	4	10	35	9.751735321854975
gold	medal	4	22	16	9.743514815050005
album	stones	3	88	3	9.743514815050005
bay	coast	3	12	22	9.743514815050005
