word_x	word_y	f_xy	f_x	f_y	pmi
palo	alto	3	3	3	15.024677973715656
fluorine	navin	3	3	3	15.024677973715656
817	515	3	3	3	15.024677973715656
feng	shui	3	4	3	14.609640474436812
linwood	basehor	3	4	3	14.609640474436812
mai	chiang	3	4	3	14.609640474436812
four	six	3	5	3	14.287712379549449
hong	kong	5	5	5	14.287712379549449
coca	cola	4	4	5	14.287712379549449
getty	images	4	5	4	14.287712379549449
aliyev	ilham	3	5	3	14.287712379549449
krista	coffell	4	5	4	14.287712379549449
rouge	baton	3	3	5	14.287712379549449
hogg	howison	6	6	6	14.024677973715656
courier	calmar	3	6	3	14.024677973715656
sri	lanka	5	6	5	14.024677973715656
d’oeuvres	hors	4	4	6	14.024677973715656
dame	notre	6	6	6	14.024677973715656
bin	laden	3	7	3	13.802285552379209
cookie	cutter	3	7	3	13.802285552379209
des	moines	3	7	3	13.802285552379209
katrina	kaif	3	7	3	13.802285552379209
hendrix	sloan	4	6	5	13.702749878828293
38105	jude	3	3	8	13.609640474436812
hogg	slater	6	6	8	13.609640474436812
howison	slater	6	6	8	13.609640474436812
petit	larceny	4	4	8	13.609640474436812
wal	mart	8	8	8	13.609640474436812
costa	rica	6	7	7	13.579893131042759
marjorie	baumgarten	7	9	7	13.4397154729945
roller	coaster	3	7	4	13.387248053100365
memphis	38105	3	10	3	13.287712379549449
na	gon	8	10	8	13.287712379549449
malicious	mischief	3	4	8	13.194602975157968
carbon	dioxide	3	11	3	13.150208855799514
relay	ceres	3	7	5	13.065319958213001
elaine	quilici	3	12	3	13.024677973715656
puerto	rico	6	9	8	13.024677973715656
mesh	strainer	4	7	7	12.994930630321603
vegas	las	8	9	11	12.980283854357202
claire	eau	8	13	8	12.90920075629572
clarity	edit	4	6	9	12.854752972273344
grandparent	paternal	5	14	5	12.802285552379209
grandparent	maternal	3	14	3	12.802285552379209
discharge	honorably	3	14	3	12.802285552379209
manor	parkview	3	11	4	12.73517135652067
k2	quinn	3	4	11	12.73517135652067
niece	nephew	3	5	9	12.702749878828293
concur	justices	3	8	6	12.609640474436812
mt	juliet	3	16	3	12.609640474436812
oliver	vanessa	3	12	4	12.609640474436812
marc	savlov	8	17	8	12.522177633186471
suite	en	3	14	4	12.387248053100365
66	petit	3	14	4	12.387248053100365
cloakroom	wc	3	10	6	12.287712379549449
flip	flop	3	15	4	12.287712379549449
grill	preheat	3	21	3	12.21732305165805
steel	stainless	3	14	5	12.065319958213001
be	iâ€	5	17	7	12.036750806016231
feed	rss	3	24	3	12.024677973715656
